SecurityID,IDType,Quantity,Price,SecurityName
US0378331005,ISIN,5000,195.4,Apple Inc. Common Stock
US5949181045,ISIN,3000,415.2,Microsoft Corp. Equity
US0231351067,ISIN,600,180.5,Amazon.com Inc. Equity
US67066G1040,ISIN,1100,925.7,NVIDIA Corporation Common
US46625H1005,ISIN,1200,165.3,JPMorgan Chase & Co. Stock
US023135CR56,ISIN,1000000,102.4,Amazon.com Inc 4.700% Notes due 2032
US46647PAV85,ISIN,1000000,99.6,JPMorgan Chase & Co 4.203% Notes due 2029
US594918CE21,ISIN,1000000,95.8,Microsoft Corp 2.921% Notes due 2052
US38141GXM13,ISIN,2000000,98.75,Goldman Sachs Group Inc 1.093% Notes due 2026
US097023CV59,ISIN,1500000,101.2,Boeing Co 5.705% Notes due 2040
